nameWithOwner,url,createdAt,stargazers,releases
bytedeco/javacv,https://github.com/bytedeco/javacv,2014-04-21T13:50:26Z,6504,9
react-native-video/react-native-video,https://github.com/react-native-video/react-native-video,2015-03-31T05:08:38Z,6491,10
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,2010-05-17T21:27:02Z,6460,0
apache/storm,https://github.com/apache/storm,2013-11-05T08:00:14Z,6432,0
pentaho/pentaho-kettle,https://github.com/pentaho/pentaho-kettle,2013-10-08T18:27:11Z,6425,1
real-logic/aeron,https://github.com/real-logic/aeron,2014-02-07T17:16:58Z,6398,84
vinc3m1/RoundedImageView,https://github.com/vinc3m1/RoundedImageView,2013-02-22T01:17:37Z,6386,19
zendesk/android-floating-action-button,https://github.com/zendesk/android-floating-action-button,2014-09-19T06:49:21Z,6375,0
google/error-prone,https://github.com/google/error-prone,2014-08-21T23:26:50Z,6365,26
processing/processing,https://github.com/processing/processing,2013-01-24T21:17:22Z,6317,48
koush/ion,https://github.com/koush/ion,2013-05-22T07:41:23Z,6299,0
rest-assured/rest-assured,https://github.com/rest-assured/rest-assured,2010-10-21T08:35:43Z,6290,0
NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,2012-09-05T05:56:24Z,6266,3
rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,2010-09-21T11:41:26Z,6239,0
ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,2015-01-15T10:49:37Z,6231,32
alibaba/transmittable-thread-local,https://github.com/alibaba/transmittable-thread-local,2013-10-13T08:48:33Z,6184,55
frohoff/ysoserial,https://github.com/frohoff/ysoserial,2015-01-28T07:13:55Z,6172,1
mrniko/netty-socketio,https://github.com/mrniko/netty-socketio,2012-01-12T11:43:49Z,6136,6
Alluxio/alluxio,https://github.com/Alluxio/alluxio,2012-12-21T17:43:46Z,6134,59
ikew0ng/SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,2013-08-25T03:36:12Z,6132,0
rengwuxian/MaterialEditText,https://github.com/rengwuxian/MaterialEditText,2014-10-30T10:07:23Z,6114,19
sshahine/JFoenix,https://github.com/sshahine/JFoenix,2015-09-08T14:04:24Z,6078,0
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,2011-03-07T13:41:46Z,6076,0
MinecraftForge/MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,2012-01-30T01:35:01Z,6046,0
daimajia/NumberProgressBar,https://github.com/daimajia/NumberProgressBar,2014-05-01T08:54:25Z,6041,3
pedrovgs/EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,2014-07-04T08:42:20Z,6026,0
rey5137/material,https://github.com/rey5137/material,2014-12-09T12:07:32Z,6026,10
google/physical-web,https://github.com/google/physical-web,2014-09-30T18:32:14Z,6023,17
mapstruct/mapstruct,https://github.com/mapstruct/mapstruct,2012-05-28T12:42:42Z,6003,26
wasabeef/richeditor-android,https://github.com/wasabeef/richeditor-android,2015-03-30T16:19:20Z,5999,0
singwhatiwanna/dynamic-load-apk,https://github.com/singwhatiwanna/dynamic-load-apk,2014-03-30T11:51:00Z,5992,0
