ID;URL;Name;nameWithOwner;Stargazers;createdAt
MDEwOlJlcG9zaXRvcnk2ODM0NzAz;https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;FizzBuzzEnterpriseEdition;EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;18730;2012-11-24T00:14:41Z
MDEwOlJlcG9zaXRvcnk1MDg0NzUw;https://github.com/Baseflow/PhotoView;PhotoView;Baseflow/PhotoView;18455;2012-07-17T16:39:00Z
MDEwOlJlcG9zaXRvcnk3MzYxNDcyMg==;https://github.com/CarGuo/GSYVideoPlayer;GSYVideoPlayer;CarGuo/GSYVideoPlayer;18344;2016-11-13T12:34:31Z
MDEwOlJlcG9zaXRvcnk0OTY2MjIyMg==;https://github.com/oracle/graal;graal;oracle/graal;18317;2016-01-14T17:11:35Z
MDEwOlJlcG9zaXRvcnk4MjA1NjAy;https://github.com/mybatis/mybatis-3;mybatis-3;mybatis/mybatis-3;18272;2013-02-14T19:03:32Z
MDEwOlJlcG9zaXRvcnk0OTg3NjQ3Ng==;https://github.com/apache/shardingsphere;shardingsphere;apache/shardingsphere;18084;2016-01-18T12:49:26Z
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==;https://github.com/brettwooldridge/HikariCP;HikariCP;brettwooldridge/HikariCP;17958;2013-10-08T05:43:03Z
MDEwOlJlcG9zaXRvcnkxMjYzNjU5NjU=;https://github.com/linlinjava/litemall;litemall;linlinjava/litemall;17796;2018-03-22T16:42:30Z
MDEwOlJlcG9zaXRvcnk3MDEwNzI0;https://github.com/dianping/cat;cat;dianping/cat;17596;2012-12-05T02:31:48Z
MDEwOlJlcG9zaXRvcnk4OTgyMjUzMQ==;https://github.com/Anuken/Mindustry;Mindustry;Anuken/Mindustry;17336;2017-04-30T01:24:29Z
MDEwOlJlcG9zaXRvcnk4NzYyNDg3MA==;https://github.com/forezp/SpringCloudLearning;SpringCloudLearning;forezp/SpringCloudLearning;17170;2017-04-08T10:06:56Z
MDEwOlJlcG9zaXRvcnkzMTUzMzk5Nw==;https://github.com/facebook/fresco;fresco;facebook/fresco;16922;2015-03-02T09:58:04Z
MDEwOlJlcG9zaXRvcnkyODYyMjkw;https://github.com/nostra13/Android-Universal-Image-Loader;Android-Universal-Image-Loader;nostra13/Android-Universal-Image-Loader;16815;2011-11-27T18:48:23Z
MDEwOlJlcG9zaXRvcnk2NzQ4MTk4Ng==;https://github.com/Tencent/tinker;tinker;Tencent/tinker;16703;2016-09-06T06:57:52Z
MDEwOlJlcG9zaXRvcnk2OTk1MzQ0NQ==;https://github.com/shuzheng/zheng;zheng;shuzheng/zheng;16456;2016-10-04T10:07:06Z
MDEwOlJlcG9zaXRvcnkxNDg0OTY2ODc=;https://github.com/yudaocode/SpringBoot-Labs;SpringBoot-Labs;yudaocode/SpringBoot-Labs;16288;2018-09-12T14:51:46Z
MDEwOlJlcG9zaXRvcnkxNzgwNDU4NA==;https://github.com/winterbe/java8-tutorial;java8-tutorial;winterbe/java8-tutorial;16200;2014-03-16T17:25:43Z
MDEwOlJlcG9zaXRvcnk0NTc2MzA1;https://github.com/openzipkin/zipkin;zipkin;openzipkin/zipkin;16055;2012-06-06T18:26:16Z
